type,inputUser,inputGroup,action,modificationMode,name,specialDatesToDeleteList,specialCommentsToDeleteList,yearlyDatesToDeleteList,yearlyCommentsToDeleteList,businessDatesToDeleteList,businessCommentsToDeleteList,selected
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20141127,Thanksgiving Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20150119,Martin Luther King's Birthday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20180528,Memorial Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20181008,Columbus Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,BHX,20071014,Eid Al Fitr (Tentative),,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20310710,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20210118,Martin Luther King's Birthday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20210705,Independence Day Observed,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20220620,,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20270118,Martin Luther King's Birthday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20270531,Memorial Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20290219,Washington's Birthday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20290903,Labor Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20310901,Labor Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NYB,20311013,Columbus Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,HES,20190419,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20190501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20200101,New Year's Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20200521,Ascension Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20211224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20220624,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20230106,Twelfth Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20230623,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20290330,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BMX,20070130,Moharum,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BMX,20070216,Mahashivratri,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,BMX,20070406,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20240509,Ascension Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20080526,Spring Bank Holiday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20090504,May Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20090831,August Bank Holiday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20100101,New Year's Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20110502,May Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20121225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20130101,New Year's Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20150403,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20151225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20160328,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20190419,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20210402,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20220103,New Year's Day Observed,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20241226,Boxing Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20251225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20260101,New Year's Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20260504,May Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,LNB,20261228,Boxing Day Observed,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20231226,Boxing Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20240520,Whit Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20081224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20250421,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20251013,Discovery Day Observed,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20251225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20260710,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20270101,New Year's Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20270802,Emancipation Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20280710,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,NAB,20281226,Boxing Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20181206,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STB,20201225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20201231,New Year's Eve,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20210405,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20220606,Whit Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,HES,20090409,Maundy Thursday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20091224,Christmas Eve,,,,,No
